File Key,Last Modified (Grobid),ETag (Grobid),Size (Grobid),S3 Link (Grobid),File Type (Grobid),Last Modified (PyPDF),ETag (PyPDF),Size (PyPDF),S3 Link (PyPDF),File Type (PyPDF)
RR_2024_l1_combined.txt,2024-02-14 00:18:51+00:00,"""fd57ef7f8805d0191c7109f21d11837e""",46586,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l1_combined.txt,txt,2024-02-14 00:18:51+00:00,"""fd57ef7f8805d0191c7109f21d11837e""",46586,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l1_combined.txt,txt
RR_2024_l2_combined.txt,2024-02-14 00:18:52+00:00,"""7737dc9531500ffbed9f4655057ad8c1""",47620,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l2_combined.txt,txt,2024-02-14 00:18:52+00:00,"""7737dc9531500ffbed9f4655057ad8c1""",47620,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l2_combined.txt,txt
RR_2024_l3_combined.txt,2024-02-14 00:18:52+00:00,"""7fa45441467d7b82130dfd0ac44c9d66""",31945,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l3_combined.txt,txt,2024-02-14 00:18:52+00:00,"""7fa45441467d7b82130dfd0ac44c9d66""",31945,https://cfa-pdfs.s3.amazonaws.com/pypdf/PyPDF_RR_2024_l3_combined.txt,txt
